Request ID,Customer ID,Request Type,Request Description,Request Status,Creation Date,Resolution Date
3305,6136,Payment Issue,I can't update my payment information in the app.,Closed,2021-02-10,
5007,1361,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2023-01-31,
4382,6915,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2020-07-29,
4262,2832,Payment Issue,My promo code was not applied to my ride.,Resolved,2021-07-03,2021-03-13
6480,3301,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",In Progress,2022-12-07,2021-06-11
8524,2217,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2023-09-29,2021-03-21
1805,6216,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2022-07-15,2020-02-08
4806,6814,Payment Issue,I can't update my payment information in the app.,Resolved,2021-07-22,
1258,9031,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2021-08-22,
5825,1721,Payment Issue,I can't update my payment information in the app.,Resolved,2023-11-09,
8414,2985,Payment Issue,I was double charged for my ride.,Open,2020-12-21,2021-02-04
503,9178,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2023-04-21,
6665,7822,Payment Issue,The ride fare was higher than the estimated fare.,In Progress,2021-12-23,
2938,9630,Payment Issue,I was double charged for my ride.,Open,2022-04-09,
9369,6094,Payment Issue,My promo code was not applied to my ride.,Resolved,2022-02-06,
5950,6289,Payment Issue,My promo code was not applied to my ride.,Open,2021-11-12,2021-11-23
9524,4278,Payment Issue,I can't update my payment information in the app.,Resolved,2021-01-30,
4698,1806,Payment Issue,My promo code was not applied to my ride.,Closed,2023-03-31,
3722,9115,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2022-12-19,2021-06-11
9120,7631,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2022-07-04,
4584,9631,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2020-01-26,
1773,3491,Payment Issue,The ride fare was higher than the estimated fare.,Open,2022-01-22,
113,1184,Payment Issue,I can't update my payment information in the app.,In Progress,2021-12-04,2022-05-08
9021,3437,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2022-02-19,2023-03-15
2858,5933,Payment Issue,My promo code was not applied to my ride.,Open,2021-01-06,
1827,2548,Payment Issue,My promo code was not applied to my ride.,Closed,2023-12-03,
4231,7837,Payment Issue,My promo code was not applied to my ride.,In Progress,2020-08-11,2021-12-26
8115,1927,Payment Issue,I was double charged for my ride.,Resolved,2021-05-25,
3833,4971,Payment Issue,The ride fare was higher than the estimated fare.,Closed,2020-08-18,
7106,3903,Payment Issue,My promo code was not applied to my ride.,Open,2022-04-09,
699,2973,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Resolved,2022-07-16,2021-03-25
2166,2221,Payment Issue,I was double charged for my ride.,In Progress,2020-10-17,2022-10-19
7499,7024,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2021-08-01,2022-12-18
4904,4301,Payment Issue,The ride fare was higher than the estimated fare.,In Progress,2021-06-01,2020-08-25
6000,7830,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2022-10-13,
2484,5918,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Closed,2021-08-11,2023-01-08
8184,7562,Payment Issue,The ride fare was higher than the estimated fare.,Resolved,2023-07-04,2020-02-19
8675,1653,Payment Issue,"I received a ride cancellation fee, but I didn't cancel the ride.",Open,2021-08-09,
5020,7923,Payment Issue,I can't update my payment information in the app.,Closed,2021-09-10,
9538,1308,Payment Issue,I was double charged for my ride.,In Progress,2021-02-03,
2324,7590,Payment Issue,I can't update my payment information in the app.,Closed,2023-06-23,2020-10-15
9290,8047,Payment Issue,My promo code was not applied to my ride.,In Progress,2021-12-09,2021-01-30
8161,8288,Payment Issue,I was double charged for my ride.,In Progress,2023-05-20,
